English,Dutch
confuse,verwarren
confusion,verwarring
congenial,sympathiek
congenital,aangeboren
congestion,congestie
conglomerate,conglomeraat
conglomeration,opeenhoping
congratulatory,felicitatie
congregate,samenkomen
congregation,gemeente
congress,congres
congressional,congres
congressman,congreslid
congruence,congruentie
conic,conisch
conical,conisch
conjecture,vermoeden
conjugal,echtelijk
conjugate,vervoegen
conjugation,vervoeging
conjunction,conjunctie
conjunctive,verbindend
conjure,toveren
conjuring,bezwerende
connect,aansluiten
connected,aangesloten
connection,verbinding
connective,bindweefsel
connoisseur,fijnproever
conquer,veroveren
conqueror,veroveraar
conquest,verovering
conscience,geweten
conscientious,gewetensvol
consciousness,bewustzijn
conscription,dienstplicht
consecration,wijding
consecutive,opeenvolgend
consent,toestemming
consenting,toestemmen
consequence,consequentie
consequent,consequent
conservation,behoud
conservatism,conservatisme
conservative,conservatief
conservatory,serre
conserve,conserveren
considerable,aanzienlijk
considerate,attent
consignee,geadresseerde
consignment,zending
consistency,consistentie
consistent,consistent
consolation,troost
console,troosten
consolidate,consolideren
consolidation,consolidering
consonant,medeklinker
consort,gemalin
conspicuous,opvallend
conspiracy,samenzwering
conspirator,samenzweerder
conspire,samenzweren
constable,politieagent
constancy,standvastigheid
constant,constante
constantly,voortdurend
constellation,sterrenbeeld
consternation,consternatie
constipation,constipatie
constituent,bestanddeel
constituents,bestanddelen
constitute,vormen
constitution,grondwet
constitutional,grondwettelijk
constitutionality,grondwettigheid
constrain,beperken
constrained,gedwongen
constraint,dwang
construct,construeren
construction,bouw
construe,uitleggen
consul,consul
consult,raadplegen
consultation,overleg
consume,verbruiken
consuming,consumeren
consummate,doortrapt
consummation,voltrekking
consumption,verbruik
contact,contact
contagion,besmetting
contagious,besmettelijk
containment,containment
contaminate,besmetten
contaminated,verontreinigde
contamination,besmetting
contemplate,aanschouwen
contemplation,overpeinzing
contemplative,beschouwend
contemporaneous,gelijktijdig
contemporary,tijdgenoot
contempt,minachting
contemptible,verachtelijk
contemptuous,minachtend
contending,strijdende
content,inhoud
contention,bewering
contentious,twistziek
contents,inhoud
context,verband
contiguous,aangrenzend
continence,zelfbeheersing
continent,continent
continental,continentaal
contingency,onvoorziene
contingent,contingent
continual,voortdurend
continually,aanhoudend
continuance,voortzetting
continuation,vervolg
continue,voortzetten
continued,vervolgd
continuing,voortgezette
continuity,continuïteit
continuous,doorlopend
continuously,doorlopend
contour,contour
contraband,smokkelwaar
contract,contract
contracted,gecontracteerd
contractile,contractiele
contracting,aanbestedende
contraction,samentrekking
contradict,tegenspreken
contradiction,tegenstrijdigheid
contradictory,tegenstrijdig
contrary,tegendeel
contrast,contrast
contrasted,gecontrasteerd
contravene,overtreden
contravention,overtreding
contribute,bijdragen
contributor,inzender
contrived,slinks
control,controle
controversial,controversiële
controversy,controverse
conundrum,woordraadsel
convalescent,herstellend
convection,convectie
convene,bijeenroepen
convenience,gemak
conveniences,gemakken
convenient,gemakkelijk
convent,klooster
convention,conventie
conventional,conventioneel
converge,convergeren
convergence,convergentie
convergent,convergerend
conversant,vertrouwd
conversation,conversatie
conversational,conversatie
converse,converseren
conversing,converseren
conversion,conversie
convert,omzetten
converted,omgebouwde
convertible,converteerbaar
convex,convex
convexity,convexiteit
convey,overbrengen
conveyance,vervoermiddel
conveyancing,overdrachtskosten
convict,veroordelen
conviction,overtuiging
convince,overtuigen
convinced,overtuigd
convincing,overtuigend
convocation,oproeping
convoluted,ingewikkelde
convolution,kronkeling
convoy,konvooi
coo,kirren
cook,kok
cookery,kookkunst
cooking,koken
cool,koel
cooler,koeler
cooling,koeling
coolness,koelte
coop,kippenren
cooperate,samenwerken
cooperating,samenwerkende
cooperation,samenwerking
cooperative,coöperatieve
coordinate,coördineren
cop,politieagent
copious,overvloedig
copper,koperen
copy,exemplaar
copycat,na aper
copying,kopiëren
copyright,auteursrecht
coral,koraal
cord,koord
cordon,cordon
corduroy,corduroy
core,kern
cork,kurk
corkscrew,kurketrekker
corn,maïs
cornea,hoornvlies
corner,hoek
cornet,kornet
cornice,kroonlijst
cornstarch,maïzena
corollary,gevolgtrekking
corona,corona
coronation,kroning
coroner,lijkschouwer
corporal,korporaal
corporate,zakelijke
corporation,corporatie
corporeal,stoffelijk
corps,corps
corpse,lijk
corpus,corpus
corral,kraal
correction,correctie
corrective,correctief
correctness,juistheid
correlation,correlatie
correlative,correlatief
correspond,corresponderen
correspondence,correspondentie
correspondent,correspondent
corridor,gang
corroborate,bevestigen
corroboration,bevestiging
corrosion,corrosie
corrosive,bijtend
corrupt,corrupt
corrupting,corrumperende
corruption,corruptie
corse,Corse
corset,korset
cortex,schors
cortical,corticale
corvette,korvet
cosmetic,schoonheidsmiddel
cosmetics,schoonheidsmiddelen
cosmic,kosmisch
cosmology,kosmologie
cosmopolitan,kosmopolitisch
cosmos,kosmos
cost,kosten
costly,kostbaar
costume,kostuum
cosy,gezellig
cot,kinderbed
cote,cote
cottage,huisje
cotton,katoen
couch,divan
cougar,poema
cough,hoesten
council,raad
counsel,raad
counsellor,raadgever
counselor,raadgever
count,tellen
countdown,countdown
countenance,gelaat
counter,teller
counteract,tegenwerken
counterbalance,tegengewicht
counterclaim,tegeneis
counterpart,tegenhanger
countess,gravin
countless,ontelbaar
country,land
countryman,landgenoot
counts,tellingen
county,provincie
coup,coup
couple,paar
coupled,gepaard
coupon,coupon
courage,moed
courageous,moedig
courier,koerier
courses,cursussen
coursing,lange jacht
court,rechtbank
courteous,hoffelijk
courtesy,hoffelijkheid
courthouse,gerechtsgebouw
courts,rechtbanken
courtship,verkering
courtyard,binnenplaats
cove,inham
covenant,verbond
cover,deksel
covered,bedekt
covering,bedekking
covert,verborgen
covet,begeren
cow,koe
coward,lafaard
cowardice,lafheid
cowardly,laf
cowboy,cowboy
cowhide,koeienhuid
cowl,monnikspij
coworker,collega
coy,schuchter
coyote,coyote
crab,krab
crabby,prikkelbaar
crack,spleet
cracked,gebarsten
cracker,kraker
cracking,kraken
crackle,geknetter
cradle,wieg
craft,ambacht
craftsman,ambachtsman
crafty,sluw
craig,craig
crammed,opgepropt
cramp,kramp
cramped,benauwd
crane,kraan
cranium,schedel
crank,zwengel
cranky,humeurig
crap,onzin
craps,craps
crash,botsing
crate,krat
crater,krater
crave,begeren
craving,hunkering
crawfish,rivierkreeft
crawl,kruipen
crayons,kleurpotloden
craze,rage
crazed,krankzinnige
crazy,gek
creaking,krakende
cream,crème
creamer,creamer
creamy,romig
crease,vouw
create,creëren
creation,schepping
creative,scheppend
creator,schepper
creature,schepsel
credence,geloof
credential,geloofsbrief
credentials,geloofsbrieven
credibility,geloofwaardigheid
credible,geloofwaardig
credit,credit
creditable,eervol
credited,gecrediteerd
crediting,creditering
creditor,schuldeiser
creed,geloofsbelijdenis
creek,kreek
creep,kruipen
creeping,serviel
cremation,crematie
creole,creoolse
crescendo,crescendo
crescent,halve maan
crevice,spleet
crew,crew
crib,kinderbedje
cricket,krekel
crime,misdrijf
criminal,crimineel
criminality,criminaliteit
crimp,krimp
crimson,karmozijn
cringe,ineenkrimpen
cripple,verlamde
crippled,verminkt
crisis,crisis
crisp,knapperig
criterion,criterium
critic,criticus
criticism,kritiek
criticize,bekritiseren
critique,critiek
critter,critter
croak,kwaken
crock,pot
crockery,aardewerk
crocodile,krokodil
croft,croft
crook,boef
crop,gewas
croquet,croquet
cross,oversteken
crossbow,kruisboog
crossed,gekruist
crossing,kruising
crotch,kruis
crouch,hurken
crouched,gehurkt
crouching,hurken
croupier,croupier
crow,kraai
crowd,menigte
crowded,druk
crown,kroon
crowning,bekroning
crucial,cruciale
cruciate,cruciate
crucifix,kruisbeeld
crucifixion,kruisiging
crude,ruw
cruel,wreed
cruelly,wreed
cruelty,wreedheid
cruise,reis
cruiser,kruiser
crumb,kruimel
crumbling,afbrokkelende
crunch,knarsen
crusade,kruistocht
crush,verpletteren
crushed,verpletterd
crushing,breken
crust,korst
crusty,korstig
crutch,kruk
crux,moeilijkheid
cry,schreeuw
crying,huilen
crypt,crypt
cryptic,cryptische
cryptography,geheimschrift
crystal,kristal
crystalline,kristallijne
crystallization,kristallisatie
cub,welp
cube,kubus
cubicle,cubicle
cuckold,hoorndrager
cuckoo,koekoek
cuddle,knuffelen
cue,keu
cuff,manchet
cuisine,keuken
culinary,culinaire
cull,ruiming
culminate,culmineren
culmination,culminatie
culpability,schuldigheid
culpable,schuldig
culprit,schuldige
cult,cultus
cultivate,verbouwen
cultivated,bewerkt
cultivation,teelt
culture,cultuur
culvert,duiker
cumbersome,hinderlijk
cumulus,stapelwolk
cunning,sluw
cup,beker
cupboard,kast
cupping,cupping
cur,cur
curable,genezen
curate,kapelaan
curative,genezend
curator,curator
curb,beteugelen
curd,wrongel
curfew,avondklok
curiosity,nieuwsgierigheid
curl,curl
curling,curling
currency,valuta
current,stroom
curriculum,leerplan
curry,kerrie
curse,vloek
cursed,vervloekt
cursing,gevloek
cursory,vluchtig
curt,kortaf
curtail,beperken
curtailment,inkorting
curtain,gordijn
curvature,kromming
curve,curve
curved,gebogen
curvilinear,kromlijnig
cushion,kussen
cusp,cusp
cussed,koppig
custodian,bewaarder
custody,hechtenis
custom,gewoonte
customary,gebruikelijk
customer,klant
cut,gesneden
cutaneous,huid-
cute,schattige
cuticle,nagelriem
cutlery,bestek
cutter,snijder
cutters,cutters
cutthroat,moordenaar
cutting,stek
cuttings,stekken
cwt,cwt
cyanide,cyanide
cycle,cyclus
cyclical,cyclische
cyclist,fietser
cyclone,cycloon
cylinder,cilinder
cylindrical,cilindrisch
cymbal,cimbaal
cynic,cynicus
cyst,cyste
cystic,cystic
cytomegalovirus,cytomegalovirus
cytoplasm,cytoplasma
czar,tsaar
dab,schar
dabble,ploeteren
dabbling,ploeteren
dad,pa
dado,sokkel
daemon,demon
daft,gek
dagger,dolk
daily,dagelijks
dainty,sierlijk
dairy,zuivelfabriek
dak,dak
dale,dal
dam,dam
damage,schade
damages,schadevergoeding
dame,lady
damn,vloek
damnation,verdoemenis
damned,verdoemde
damp,vochtig
dampened,bevochtigd
damper,demper
damsel,jonkvrouw
dance,dans
dancer,danser
dandruff,roos
dandy,dandy
danger,gevaar
dangerous,gevaarlijk
dangle,bengelen
dank,vochtig
dapper,dapper
dare,durven
daring,gedurfd
dark,donker
darken,verduisteren
darkened,verduisterd
darkly,donker
darkness,duisternis
darling,lieveling
darn,sakkerloot
dart,pijl
dash,scheutje
dashboard,dashboard
dashed,gestippelde
dashing,zwierig
dastardly,lafhartig
data,gegevens
database,databank
date,datum
daughter,dochter
dawn,dageraad
day,dag
daybreak,aanbreken van de dag
daydreaming,dagdromen
daze,verdoving
dazed,versuft
dazzling,oogverblindende
deacon,diaken
deactivate,deactiveren
deadlock,impasse
deadly,dodelijk
deaf,doof
deafening,oorverdovend
deafness,doofheid
deal,transactie
dealer,handelaar
dealing,omgang
dealings,transacties
dean,decaan
dear,lieve
dearth,schaarste
death,dood
debacle,debacle
debatable,betwistbaar
debate,debat
debauchery,losbandigheid
debenture,obligatie
debit,debet
debris,puin
debt,schuld
debtor,schuldenaar
debut,debuut
decade,decennium
decanter,karaf
decay,verval
decayed,gammel
deceased,overledene
deceit,bedrog
deceitful,bedrieglijk
deceive,bedriegen
deceived,bedrogen
deceiving,bedriegen
decency,fatsoen
decent,fatsoenlijk
deception,bedrog
deceptive,bedrieglijk
decidedly,beslist
deciduous,loof
decimal,decimale
decipher,ontcijferen
decision,beslissing
decisive,beslissend
deck,dek
declaration,verklaring
declaratory,verklarend
declare,verklaren
declination,declinatie
decline,achteruitgang
declining,afnemende
decompose,ontleden
decomposed,ontbonden
decomposition,ontleding
decorate,versieren
decoration,decoratie
decorum,etiquette
decoy,lokvogel
decrease,verminderen
decreased,verminderde
decreasing,afnemende
decree,decreet
decrement,decrement
decrepit,uitgeleefd
decry,afkeuren
dedication,toewijding
deduce,afleiden
deduct,aftrekken
deduction,aftrek
deed,daad
deepen,verdiepen
deer,hert
defamation,laster
defamatory,lasterlijk
default,verzuim
defeat,nederlaag
defeated,verslagen
defect,defect
defection,afvalligheid
defective,defectief
defend,verdedigen
defendant,verweerder
defended,verdedigde
defender,verdediger
defending,verdedigen
defense,defensie
defenseless,weerloos
defensible,verdedigbaar
defensive,defensief
defer,uitstellen
deference,eerbied
deferral,uitstel
deferring,uitstellen
defiance,tarting
defiant,uitdagend
deficiency,tekort
deficit,tekort
define,definiëren
defined,gedefinieerd
definition,definitie
definitive,definitief
deflate,deflatie veroorzaken
deflation,deflatie
deflect,afwijken
deflection,afbuiging
defloration,ontnemeheid kuisheid
deform,vervormen
deformed,misvormd
deformity,mismaaktheid
defraud,bedriegen
defray,bekostigen
deft,handig
defunct,overledene
defy,trotseren
degeneracy,degeneratie
degenerate,gedegenereerd
degeneration,ontaarding
degradation,vernedering
degrade,degraderen
degrading,vernederende
degree,graad
dehydrated,uitgedroogd
delay,vertraging
delayed,vertraagd
delectable,verrukkelijk
delegate,afgevaardigde
delegation,delegatie
deleterious,schadelijk
deletion,verwijdering
deliberate,opzettelijk
deliberation,beraad
deliberative,deliberatieve
delicacy,lekkernij
delicious,heerlijk
delight,genot
delighted,verrukt
delightful,verrukkelijk
delineate,schetsen
delineation,schets
delinquency,delinquentie
delinquent,delinquent
delirious,ijlend
delirium,delirium
deliverance,bevrijding
delivery,levering
dell,dal
delta,delta
deluge,stortvloed
delusion,waan
delusional,waanvoorstellingen
delve,delven
demand,vraag
demanding,veeleisende
demeanor,houding
demented,krankzinnig
dementia,zwakzinnigheid
demise,overlijden
democracy,democratie
democrat,democraat
demolish,slopen
demolition,sloop
demon,demon
demonic,demonisch
demonstrable,bewijsbaar
demonstrate,demonstreren
demonstrated,gedemonstreerd
demonstrating,demonstrating
demonstration,demonstratie
demonstrative,aanwijzend
demonstrator,betoger
demoralized,gedemoraliseerd
demos,demos
den,hol
denial,ontkenning
denied,ontkende
denomination,benaming
denominational,confessioneel
denominator,noemer
denote,aanduiden
denounce,opzeggen
dense,dicht
density,dichtheid
dent,deuk
dentistry,tandheelkunde
denunciation,aanklacht
deny,ontkennen
denying,ontkennen
deodorant,deodorant
depart,vertrekken
departed,overleden
department,afdeling
departure,vertrek
depend,afhangen
dependant,afhankelijk
dependence,afhankelijkheid
dependency,afhankelijkheid
dependent,afhankelijk
depict,verbeelden
depicting,beeltenis
depletion,uitputting
deplorable,betreurenswaardig
deplore,betreuren
deploy,implementeren
deport,deporteren
deportation,deportatie
deposit,storting
depositary,bewaarder
deposition,afzetting
depository,bewaarder
depot,depot
depraved,verdorven
depravity,verdorvenheid
depreciate,depreciëren
depreciated,afgeschreven
depreciation,waardevermindering
depress,deprimeren
depressed,terneergeslagen
depressing,deprimerend
depression,depressie
depressive,depressieve
deprivation,beroving
depth,diepte
deputy,afgevaardigde
derail,doen ontsporen
deranged,zinneloos
derelict,vervallen
derision,spot
derivation,afleiding
derivative,afgeleide
derive,ontlenen
dermal,huid-
dermatologist,dermatologist
dermatology,dermatologie
derogation,afbreuk
derogatory,denigrerende
descend,afdalen
descendant,afstammeling
descendent,afstammeling
descending,aflopend
descent,afdaling
describe,beschrijven
description,beschrijving
descriptive,beschrijvend
desecration,ontheiliging
desert,woestijn
deserted,uitgestorven
desertion,desertie
deserve,verdienen
deserved,verdienden
deserving,verdienstelijk
design,ontwerp
designate,aanwijzen
designation,benaming
designed,ontworpen
designer,ontwerper
designing,ontwerpen
desirability,wenselijkheid
desirable,wenselijk
desiring,verlangend
desirous,verlangend
desist,ophouden
desk,bureau
desolation,verwoesting
despair,wanhoop
despairing,wanhopig
despatch,verzending
desperate,wanhopig
desperation,wanhoop
despicable,verachtelijk
despise,verachten
despotic,despotisch
despotism,despotisme
dessert,dessert
destination,bestemming
destined,voorbestemd
destiny,lot
destitute,behoeftig
destroyed,vernietigd
destroyer,vernietiger
destroying,vernietigen
destruction,vernietiging
destructive,vernietigend
detach,losmaken
detached,vrijstaande
detachment,detachement
detail,detail
details,Details
detain,detineren
detainee,gedetineerde
detect,opsporen
detectable,detecteerbaar
detection,opsporing
detective,detective
detector,detector
detention,hechtenis
deter,afschrikken
detergent,wasmiddel
deteriorate,achteruitgaan
deteriorated,verslechterd
deterioration,achteruitgang
determinable,bepaalbaar
determinate,bepaald
determination,vastberadenheid
determined,vastbesloten
detest,verafschuwen
detonate,ontploffen
detonation,ontploffing
detour,omweg
detract,afbreuk
detriment,schade
detrimental,schadelijk
detritus,afval
deuce,drommel
devastate,verwoesten
devastating,verwoestende
devastation,verwoesting
develop,ontwikkelen
developing,ontwikkelen
development,ontwikkeling
deviate,afwijken
deviating,afwijkende
deviation,afwijking
device,apparaat
devil,duivel
devilish,duivels
devious,omslachtig
devise,bedenken
devoid,verstoken
devolution,devolutie
devolve,overgaan
devote,wijden
devotee,aanbidder
devotional,stichtelijk
devour,verslinden
devout,vroom
dew,dauw
dexter,rechts
dexterity,behendigheid
dextrose,dextrose
diabolical,duivels
diagnosis,diagnose
diagnostic,diagnostisch
diagnostics,diagnostiek
diagram,diagram
dial,wijzerplaat
dialect,dialekt
dialectic,dialektiek
dialogue,dialoog
diameter,diameter
diamond,diamant
diamonds,ruiten
diaper,luier
diaphragm,diafragma
diarrhoea,diarree
diary,dagboek
diatribe,schimprede
dice,dobbelen
dichotomous,dichotome
dichotomy,dichotomie
dictate,dicteren
dictation,dictee
dictator,dictator
dictatorial,dictatoriaal
dictatorship,dictatuur
diction,dictie
dictionary,woordenboek
dictum,dictum
didactic,didactisch
die,sterven
diet,dieet
dietary,dieet-
differ,verschillen
difference,verschil
differences,verschillen
differential,differentiaal
differentiation,differentiatie
differently,anders
differing,afwijkende
difficult,moeilijk
difficulties,moeilijkheden
difficulty,moeilijkheid
diffuse,diffuus
diffusion,verspreiding
dig,graven
digest,verteren
digestion,spijsvertering
digit,cijfer
dignified,waardig
dignity,waardigheid
digress,afdwalen
digs,graaft
dike,dijk
dilapidated,vervallen
dilatation,verwijding
dilation,verwijding
dilemma,dilemma
diligence,ijver
diligent,ijverig
diluent,oplosmiddel
dilute,verdunnen
diluted,verdund
dilution,verdunning
dime,dubbeltje
dimension,dimensie
diminish,verminderen
diminished,verminderd
diminution,vermindering
diminutive,verkleinwoord
din,geraas
dine,dineren
diner,diner
dinner,diner
dinosaur,dinosaurus
dint,dint
diocesan,diocesane
diocese,bisdom
diorama,diorama
dip,onderdompeling
diploma,diploma
diplomacy,diplomatie
diplomat,diplomaat
diplomatic,diplomatisch
dire,verschrikkelijk
directed,regisseerde
direction,richting
directly,direct
director,directeur
directory,directory
dirt,vuil
dirty,vies
disability,onbekwaamheid
disable,onbruikbaar maken
disabled,invalide
disadvantage,nadeel
disaffected,ontevreden
disagree,het oneens zijn
disagreeable,onaangenaam
disagreeing,oneens
disagreement,meningsverschil
disallow,niet toestaan
disallowed,afgekeurd
disappear,verdwijnen
disappearance,verdwijning
disappearing,verdwijnen
disappoint,teleurstellen
disappointed,teleurgesteld
disappointing,teleurstellend
disappointment,teleurstelling
disapproval,afkeuring
disapprove,afkeuren
disapproved,afgekeurd
disapproving,afkeurende
disarm,ontwapenen
disarray,wanorde
disaster,ramp
disastrous,noodlottig
disband,ontbinden
disbelief,ongeloof
disbelieve,niet geloven
disburse,betalen
disbursement,uitgave
disc,schijf
discarded,weggegooid
discards,teruggooi
discern,onderscheiden
discernible,waarneembaar
discerning,veeleisende
discernment,onderscheidingsvermogen
discharge,ontlading
disciple,discipel
discipline,discipline
disclaim,verwerpen
disclaimer,ontkenning
disclose,openbaren
disclosed,bekendgemaakt
disclosure,openbaring
discoloration,verkleuring
discolored,verkleurde
discomfort,ongemak
disconnect,loskoppelen
disconnected,losgekoppeld
disconnection,ontkoppeling
discontent,ontevredenheid
discontinuance,staking
discontinue,staken
discontinuity,discontinuïteit
discontinuous,discontinue
discord,onenigheid
discount,korting
discounted,verdisconteerd
discourage,ontmoedigen
discouraged,ontmoedigd
discouragement,ontmoediging
discourse,redevoering
discover,ontdekken
discovery,ontdekking
discredit,diskrediet
discreet,discreet
discrepancy,tegenstrijdigheid
discrete,discreet
discretion,goeddunken
discretionary,discretionaire
discriminate,onderscheiden
discriminating,onderscheid
discrimination,discriminatie
discus,discus
discuss,bespreken
discussion,discussie
disdain,minachting
disease,ziekte
diseased,ziek
disembodied,losgemaakt
disengage,losmaken
disengagement,ontkoppeling
disfigured,bedorven
disgrace,schande
disgraced,schande
disgraceful,schandelijk
disgruntled,ontevreden
disguise,vermommen
disguised,verkapt
disgust,walging
disgusting,walgelijk
dish,gerecht
disheartened,ontmoedigd
disheartening,ontmoedigend
dishonest,oneerlijk
dishonesty,oneerlijkheid
dishonor,oneer
disillusionment,ontgoocheling
disinfect,desinfecteren
disinfectant,ontsmettingsmiddel
disinfection,ontsmetting
disinformation,disinformatie
disingenuous,onoprecht
disintegrate,uit elkaar vallen
disintegration,ontbinding
disinterested,belangeloos
disjoint,uit elkaar nemen
disjointed,onsamenhangend
disjunctive,gescheidenheid
disk,schijf
diskette,diskette
dislike,afkeer
disliked,hekel
dislocated,ontwrichte
dislocation,ontwrichting
dislodge,verjagen
dismal,somber
dismay,ontzetting
dismemberment,verbrokkeling
dismiss,ontslaan
dismissal,ontslag
dismount,afstijgen
disobedience,ongehoorzaamheid
disobedient,ongehoorzaam
disobey,niet gehoorzamen
disorder,wanorde
disorderly,wanordelijk
disorganized,ongeorganiseerd
disparage,geringschatten
disparaging,minachtend
disparate,ongelijksoortig
disparity,ongelijkheid
dispassionate,kalm
dispatch,verzending
dispel,verdrijven
dispensation,dispensatie
dispense,uitdelen
disperse,verspreiden
dispersed,verspreide
dispersion,dispersie
displace,verdringen
displaced,ontheemden
displacement,verplaatsing
display,tonen
displeased,misnoegd
displeasure,misnoegen
disposal,beschikking
dispose,Gooi
disposed,geneigd
disposition,aanleg
dispossessed,onteigend
disprove,weerleggen
dispute,geschil
disqualification,diskwalificatie
disqualified,gediskwalificeerd
disqualify,diskwalificeren
disregard,veronachtzaming
disregarded,genegeerd
disreputable,berucht
disrepute,schande
disrespect,oneerbiedigheid
disrespectful,oneerbiedig
disruption,ontwrichting
dissatisfaction,ontevredenheid
dissatisfied,ontevreden
dissect,ontleden
dissection,ontleding
disseminate,verspreiden
dissemination,verspreiding
dissension,tweedracht
dissent,van mening
dissenting,dissenting
dissertation,proefschrift
disservice,ondienst
dissident,dissident
dissimilar,ongelijk
dissipate,verdrijven
dissipated,losbandig
dissociation,dissociatie
dissolution,ontbinding
dissolve,ontbinden
dissonance,dissonant
dissuade,ontraden
distal,distale
distance,afstand
distant,afgelegen
distaste,afkeer
distasteful,onsmakelijk
distillate,destillaat
distillation,distillatie
distinction,onderscheid
distinctive,onderscheidend
distinguish,onderscheiden
distinguishable,te onderscheiden
distinguished,gedistingeerd
distinguishing,onderscheidende
distorted,verwrongen
distortion,vervorming
distract,afleiden
distracted,verstrooid
distracting,afleidende
distraction,afleiding
distraught,radeloos
distress,nood
distressed,bedroefd
distressing,schrijnende
distribute,verdelen
distribution,distributie
district,wijk
distrust,wantrouwen
disturbance,verstoring
disturbed,verstoord
disuse,onbruik
disused,stilgelegde
ditch,greppel
ditto,idem
ditty,deuntje
diurnal,dag-
divan,divan
dive,duiken
diver,duiker
diverge,afwijken
divergence,afwijking
divergent,afwijkend
diverging,divergerende
divers,verschillend
diverse,verschillend
diversified,afwisselend
diversify,diversifiëren
diversion,afleidingsmanoeuvre
diversity,verscheidenheid
divert,afleiden
diverting,doorschakelen
divest,ontnemen
divested,afgestoten
divestment,desinvestering
divide,verdelen
divided,verdeeld
dividend,dividend
divination,waarzeggerij
divine,goddelijk
divinity,goddelijkheid
divisible,deelbaar
division,divisie
divisor,deler
divorce,echtscheiding
divulge,onthullen
dizziness,duizeligheid
dizzy,duizelig
docile,volgzaam
dock,dok
docked,aangemeerd
docket,borderel
doctor,dokter
doctrinal,leerstellig
doctrine,leer
document,document
documentary,documentaire
dodge,ontwijken
dodging,ontwijken
doe,hinde
doer,dader
dog,hond
dogged,vasthoudend
dogma,dogma
dogmatic,dogmatisch
doings,doen en laten
doit,doe het
doldrums,doldrums
dole,uitkering
doll,pop
dollar,dollar
dolor,smart
dolphin,dolfijn
domain,domein
dome,koepel
domestic,huishoudelijk
domesticated,huis-
domestication,temming
domicile,woonplaats
domiciled,woonachtig
dominance,overheersing
dominant,dominant
dominate,heersen
dominating,dominerende
domination,overheersing
dominion,heerschappij
domino,domino
don,don
donation,schenking
donkey,ezel
donor,schenker
doodle,doodle
doom,ondergang
doomed,verdoemde
doomsday,dag des oordeels
door,deur
doorbell,door Bell
doorway,deuropening
dormant,sluimerend
dormitory,slaapzaal
dorsal,dorsal
dose,dosis
dot,stip
double,dubbele
doubled,verdubbelde
doublet,doublet
doubling,verdubbeling
doubt,twijfel
doubtful,twijfelachtig
doubting,twijfelende
doubtless,ongetwijfeld
douche,douche
dough,deeg
doughnut,donut
dour,streng
dove,duif
downcast,neerslachtig
downfall,val
downhill,bergafwaarts
downpour,stortbui
downright,ronduit
downy,donzig
dowry,bruidschat
doze,dutten
dozen,dozijn
drab,saai
draft,ontwerp
drag,slepen
dragon,draak
drain,draineren
drainage,riolering
drained,droog
drake,woerd
drama,drama
dramatic,dramatisch
drape,draperen
drapery,draperie
drastic,drastisch
draught,ontwerp
draw,trekken
drawback,nadeel
drawer,lade
drawers,onderbroek
drawing,tekening
dread,vrezen
dreadful,vreselijk
dreadfully,vreselijk
dream,dromen
dreamer,dromer
dreaming,dromen
dreamy,dromerig
dreary,somber
dredge,baggermachine
drenched,Drenched
dresser,commode
dribble,dribbelen
dried,droog
drier,droogmachine
drift,drift
drifted,dreef
drill,boor
drink,drank
drinking,drinken
drip,druppelen
dripping,druipende
drivel,geleuter
driver,bestuurder
driveway,pad
drizzle,motregen
droll,koddig
drone,dar
drool,kwijlen
drooping,hangende
drop,drop
droplet,druppel
drought,droogte
drove,dreef
drown,verdrinken
drowsiness,slaperigheid
drowsy,slaperig
drudgery,gezwoeg
drug,drug
drugged,gedrogeerd
drugstore,apotheek
druid,Druïde
drum,trommel
drummer,trommelaar
drumming,drummen
drunken,dronken
drunkenness,dronkenschap
dry,droog
dryness,droogheid
dual,dubbel
dualism,dualisme
duality,tweevoudigheid
dub,dub
dubious,twijfelachtig
ducking,ducking
duct,kanaal
ductile,buigzaam
duds,vodden
due,verschuldigd
duel,duel
dues,contributie
duet,duet
dugout,dugout
duke,hertog
dull,dof
dumb,stom
dummy,pop
dump,stortplaats
dumps,stortplaatsen
dun,manen
dune,duin
dung,mest
dungeon,kerker
duo,duo
dupe,dupe
duplex,tweezijdig
duplicate,duplicaat
duplication,verdubbeling
duplicity,dubbelhartigheid
durability,duurzaamheid
durable,duurzaam
duration,duur
duress,dwang
dusk,schemering
dusky,schemerig
dust,stof
duster,stofdoek
dusty,stoffig
dutiful,plichtmatig
dwarf,dwerg
dwarfed,verkleind
dwell,wonen
dweller,bewoner
dwelling,woning
dye,verfstof
dying,stervende
dyke,dijk
dynamic,dynamisch
dynamical,dynamische
dynamics,dynamica
dynamite,dynamiet
dynasty,dynastie
dysentery,dysenterie
dyspepsia,indigestie
eager,gretig
eagerness,gretigheid
eagle,adelaar
ear,oor
earl,graaf
earlier,vroeger
early,vroeg
earn,verdienen
earnest,ernstig
earnestly,ernstig
earnestness,ernst
earnings,verdiensten
earring,oorbel
earshot,gehoor
earth,aarde
earthenware,aardewerk
earthly,aards
earthquake,aardbeving
earthy,aardsgezind
ease,gemak
easel,schildersezel
easement,servituut
easily,gemakkelijk
easy,makkelijk
easygoing,makkelijk in de omgang
eat,eten
eating,het eten
eavesdropping,afluisteren
ebb,eb
ebony,ebbehout
eccentric,excentriek
eccentricity,excentriciteit
ecclesiastical,kerkelijk
echo,echo
